Mobile Artillery Fort,330,AS3D_UN_TANK_HEAL_LOW
Mobile Artillery Fort,330,AS3D_UN_TANK_FORT
,,
Mobile Artillery Heal,700,AS3D_UN_TANK_HEAL
,,
Mobile Artillery Hurt A,541,AS3D_UN_TANK_HIT_SHORT
,,
Mobile Artillery Ranged Die A,592,AS3D_UN_TANK_HIT
Mobile Artillery Ranged Die A,592,AS3D_UN_EXPLOSION_LOW
Mobile Artillery Ranged Die A,603,AS3D_UN_TANK_DROP
,,
Mobile Artillery Strike,502,AS3D_UN_ARTILLERY_FIRE
Mobile Artillery Strike,509,AS3D_UN_TANK_HIT_SHORT
Mobile Artillery Strike,509,AS3D_UN_TANK_DROP_LOW
