"Type","TypeLine","ShadowLine","Attach","AttachLine","Scale","ScaleLine"
"ART_DEF_UNIT_BANDIT_RIDER","7114","7122","HorseBip Spine1","7123","1.0","7124"
"ART_DEF_UNIT_CAMEL_ARCHER","7554","7562","BIP Pelvis","7563","1.0","7564"
"ART_DEF_UNIT_CAMEL_GUNNER","7572","7580","BIP Pelvis","7581","1.0","7582"
"ART_DEF_UNIT_CAMEL_KNIGHT","7590","7598","BIP Pelvis","7599","1.0","7600"
"ART_DEF_UNIT_CAMEL_RIDER","7607","7614","MD","7615","0.7","7616"
"ART_DEF_UNIT_CARABINIER","7712","7720","HorseBip Spine1","7721","1.0","7722"
"ART_DEF_UNIT_CHIVALRY","8226","8234","BIP Pelvis","8235","1.0","8236"
"ART_DEF_UNIT_DRAGOON","8686","8694","HorseBip Spine1","8695","1.0","8696"
"ART_DEF_UNIT_HEAVY_CAVALRY","10588","10595","BIP Pelvis","10596","1.0","10597"
"ART_DEF_UNIT_HEAVY_SPEARMAN","10658","10665","BIP Pelvis","10666","1.0","10667"
"ART_DEF_UNIT_HEAVY_SWORDSMAN","10674","10682","BIP Pelvis","10683","1.0","10684"
"ART_DEF_UNIT_HIGHWAYMAN","10724","10732","HorseBip Spine1","10733","1.0","10734"
"ART_DEF_UNIT_HORSE_CROSSBOWMAN","10846","10854","BIP Pelvis","10855","1.0","10856"
"ART_DEF_UNIT_HORSEMAN","10864","10872","HorseBip Spine1","10873","1.0","10874"
"ART_DEF_UNIT_HORSE_PACK","10881","10889","HorseBip Spine1","10890","1.0","10891"
"ART_DEF_UNIT_LANCER","11344","11352","HorseBip Spine1","11353","1.0","11354"
"ART_DEF_UNIT_LIGHT_CAVALRY","11535","11542","BIP Pelvis","11543","1.0","11544"
"ART_DEF_UNIT_MEDICAL_VET","11964","11972","HorseBip Spine1","11973","1.0","11974"
"ART_DEF_UNIT_MOUNTED_INFANTRY","12733","12740","BIP Pelvis","12741","1.0","12742"
"ART_DEF_UNIT_OUTLAW","13219","13227","HorseBip Spine1","13228","1.0","13229"
"ART_DEF_UNIT_TRENCH_CAVALRY","15688","15696","HorseBip Spine1","15697","1.0","15698"
"ART_DEF_UNIT_WORKER_BUFFALO","16777","16785","LionBip Spine1","16786","0","16787"
"ART_DEF_UNIT_WORK_CAMEL","16797","16805","HorseBip Spine1","16806","1.0","16807"
"ART_DEF_UNIT_COMANCHE_HORSE_ARCHER","17090","17098","BIP Pelvis","17099","1.0","17100"
"ART_DEF_UNIT_CHEYENNE_RIDER","17126","17134","BIP Pelvis","17135","1.0","17136"
"ART_DEF_UNIT_MEXICO_RURALES","17357","17365","HorseBip Spine1","17366","1.0","17367"
"ART_DEF_UNIT_OLMEC_EAGLE_WARRIOR","17427","17435","BIP Pelvis","17436","1.0","17437"
"ART_DEF_UNIT_AFONSO_HENRIQUES","17583","17591","BIP Pelvis","17592","1.0","17593"
"ART_DEF_UNIT_ARPAD","17667","17675","BIP Pelvis","17676","1.0","17677"
"ART_DEF_UNIT_ARTHUR","17685","17693","BIP Pelvis","17694","1.0","17695"
"ART_DEF_UNIT_BAIBARS","17754","17762","BIP Pelvis","17763","1.0","17764"
"ART_DEF_UNIT_BASIL_II","17805","17813","BIP Pelvis","17814","1.0","17815"
"ART_DEF_UNIT_BENIN_EWUARE","17839","17847","HorseBip Spine1","17848","1.0","17849"
"ART_DEF_UNIT_BILGE_KHAN","17856","17864","HorseBip Spine1","17865","1.0","17866"
"ART_DEF_UNIT_CHANDRAGUPTA_MAURYA","17924","17932","BIP Pelvis","17933","1.0","17934"
"ART_DEF_UNIT_EL_CID","18077","18085","BIP Pelvis","18086","1.0","18087"
"ART_DEF_UNIT_EUGENE","18128","18135","HorseBip Spine1","18136","1.0","18137"
"ART_DEF_UNIT_FREDERICK_BARBAROSSA","18196","18204","BIP Pelvis","18205","1.0","18206"
"ART_DEF_UNIT_GOTH_ALARIC","18231","18239","BIP Pelvis","18240","1.0","18241"
"ART_DEF_UNIT_GUAN_YU","18249","18257","BIP Pelvis","18258","1.0","18259"
"ART_DEF_UNIT_GWANGGAETO","18266","18273","BIP Pelvis","18274","1.0","18275"
"ART_DEF_UNIT_HENRI_IV","18317","18325","HorseBip Spine1","18326","1.0","18327"
"ART_DEF_UNIT_HERNAN_CORTES","18368","18376","HorseBip Spine1","18377","1.0","18378"
"ART_DEF_UNIT_HIDEYOSHI","18403","18411","BIP Pelvis","18412","1.0","18413"
"ART_DEF_UNIT_ITHOBAAL","18453","18461","BIP Pelvis","18462","1.0","18463"
"ART_DEF_UNIT_ITZCOATL","18470","18478","BIP Pelvis","18479","1.0","18480"
"ART_DEF_UNIT_IVAN_IV","18505","18513","BIP Pelvis","18514","1.0","18515"
"ART_DEF_UNIT_JADWIGA","18522","18530","BIP Pelvis","18531","1.0","18532"
"ART_DEF_UNIT_KHOSRAU","18674","18682","BIP Pelvis","18683","1.0","18684"
"ART_DEF_UNIT_LUIS","18793","18801","HorseBip Spine1","18802","1.0","18803"
"ART_DEF_UNIT_OGODAI","19069","19076","BIP Pelvis","19077","1.0","19078"
"ART_DEF_UNIT_OSMAN","19086","19094","HorseBip Spine1","19095","1.0","19096"
