"Type","TypeLine","ShadowLine","Attach","AttachLine","Scale","ScaleLine"
"ART_DEF_UNIT_BANDIT_RIDER","7114","7122","HorseBip Spine1","7123","1.0","7124"
"ART_DEF_UNIT_CARABINIER","7712","7720","HorseBip Spine1","7721","1.0","7722"
"ART_DEF_UNIT_DRAGOON","8686","8694","HorseBip Spine1","8695","1.0","8696"
"ART_DEF_UNIT_HIGHWAYMAN","10724","10732","HorseBip Spine1","10733","1.0","10734"
"ART_DEF_UNIT_HORSEMAN","10864","10872","HorseBip Spine1","10873","1.0","10874"
"ART_DEF_UNIT_HORSE_PACK","10881","10889","HorseBip Spine1","10890","1.0","10891"
"ART_DEF_UNIT_LANCER","11344","11352","HorseBip Spine1","11353","1.0","11354"
"ART_DEF_UNIT_MEDICAL_VET","11964","11972","HorseBip Spine1","11973","1.0","11974"
"ART_DEF_UNIT_OUTLAW","13219","13227","HorseBip Spine1","13228","1.0","13229"
"ART_DEF_UNIT_TRENCH_CAVALRY","15688","15696","HorseBip Spine1","15697","1.0","15698"
"ART_DEF_UNIT_WORK_CAMEL","16797","16805","HorseBip Spine1","16806","1.0","16807"
"ART_DEF_UNIT_MEXICO_RURALES","17357","17365","HorseBip Spine1","17366","1.0","17367"
"ART_DEF_UNIT_BENIN_EWUARE","17839","17847","HorseBip Spine1","17848","1.0","17849"
"ART_DEF_UNIT_BILGE_KHAN","17856","17864","HorseBip Spine1","17865","1.0","17866"
"ART_DEF_UNIT_EUGENE","18128","18135","HorseBip Spine1","18136","1.0","18137"
"ART_DEF_UNIT_HENRI_IV","18317","18325","HorseBip Spine1","18326","1.0","18327"
"ART_DEF_UNIT_HERNAN_CORTES","18368","18376","HorseBip Spine1","18377","1.0","18378"
"ART_DEF_UNIT_LUIS","18793","18801","HorseBip Spine1","18802","1.0","18803"
"ART_DEF_UNIT_OSMAN","19086","19094","HorseBip Spine1","19095","1.0","19096"
"ART_DEF_UNIT_ROSTAM","19255","19263","HorseBip Spine1","19264","1.0","19265"
"ART_DEF_UNIT_SUNDIATA_KEITA","19464","19472","HorseBip Spine1","19473","1.0","19474"
