type,source_tier,inferred_name,folder,ext,era_hints,culture_hints,path
building,BTG,amazonian archeryrange,buildings,.dds,,,Art/BTG/Amazon Civilization/Art/Interface/Buttons/Buildings/amazonian_archeryrange.dds
building,BTG,archeryrange,amazonian_archeryrange,.nif,,,Art/BTG/Amazon Civilization/Art/Structures/Buildings/Amazonian_ArcheryRange/archeryrange.nif
building,BTG,parts,amazonian_archeryrange,.dds,,,Art/BTG/Amazon Civilization/Art/Structures/Buildings/Amazonian_ArcheryRange/parts.dds
building,BTG,shadowmap,amazonian_archeryrange,.dds,,,Art/BTG/Amazon Civilization/Art/Structures/Buildings/Amazonian_ArcheryRange/shadowmap.dds
building,BTG,in2,adam smith trading co,.dds,,,Art/BTG/Buildings/Adam Smith Trading Co/in2.dds
building,BTG,alamut,alamut,.nif,,,Art/BTG/Buildings/Alamut/alamut.nif
building,BTG,s assassins fortress diff 0,alamut,.dds,,,Art/BTG/Buildings/Alamut/s_assassins_fortress_diff_0.dds
building,BTG,asiancourthouse cm,bakufumagistracy,.dds,,asian,Art/BTG/Buildings/BakufuMagistracy/asianCourthouse_cm.dds
building,BTG,courthouse,bakufumagistracy,.dds,,,Art/BTG/Buildings/BakufuMagistracy/courthouse.dds
building,BTG,bank,centralbank,.dds,,,Art/BTG/Buildings/CentralBank/Bank.dds
building,BTG,bank,centralbank,.nif,,,Art/BTG/Buildings/CentralBank/Bank.nif
building,BTG,bankshadow,centralbank,.dds,,,Art/BTG/Buildings/CentralBank/BankShadow.dds
building,BTG,centralbank,centralbank,.dds,,,Art/BTG/Buildings/CentralBank/CentralBank.dds
building,BTG,forbiddenpalace shadowmap,changdeokgung,.dds,,,Art/BTG/Buildings/Changdeokgung/forbiddenpalace-shadowmap.dds
building,BTG,forbiddenpalace map,changdeokgung,.dds,,,Art/BTG/Buildings/Changdeokgung/forbiddenpalace_map.dds
building,BTG,forbiddenpalace shadowmap,changdeokgung,.dds,,,Art/BTG/Buildings/Changdeokgung/forbiddenpalace_shadowmap.dds
building,BTG,##arch circus.tga,circus maximus,.dds,,,Art/BTG/Buildings/Circus Maximus/##arch_circus.tga.dds
building,BTG,brck19s white.tga,circus maximus,.dds,,,Art/BTG/Buildings/Circus Maximus/brck19s_white.tga.dds
building,BTG,circus,circus maximus,.nif,,,Art/BTG/Buildings/Circus Maximus/circus.nif
building,BTG,circus texpage1.tga,circus maximus,.dds,,,Art/BTG/Buildings/Circus Maximus/circus_texpage1.tga.dds
building,BTG,circus upper wall windows less shadow.tga,circus maximus,.dds,,,Art/BTG/Buildings/Circus Maximus/circus_upper_wall_windows_less_shadow.tga.dds
building,BTG,concrete sandy.tga,circus maximus,.dds,,,Art/BTG/Buildings/Circus Maximus/concrete_sandy.tga.dds
building,BTG,rooftiles large.tga,circus maximus,.dds,,,Art/BTG/Buildings/Circus Maximus/rooftiles_large.tga.dds
building,BTG,steps5.tga,circus maximus,.dds,,,Art/BTG/Buildings/Circus Maximus/steps5.tga.dds
building,BTG,white marble floor tiles.tga,circus maximus,.dds,,,Art/BTG/Buildings/Circus Maximus/white_marble_floor_tiles.tga.dds
building,BTG,white stone yellowy.tga,circus maximus,.dds,,,Art/BTG/Buildings/Circus Maximus/white_stone_yellowy.tga.dds
building,BTG,white stone yellowy grimy.tga,circus maximus,.dds,,,Art/BTG/Buildings/Circus Maximus/white_stone_yellowy_grimy.tga.dds
building,BTG,yellow brick txt pge.tga,circus maximus,.dds,,,Art/BTG/Buildings/Circus Maximus/yellow_brick_txt_pge.tga.dds
building,BTG,btn doge,doge,.dds,,,Art/BTG/Buildings/Doge/BTN_Doge.dds
building,BTG,doges,doge,.dds,,,Art/BTG/Buildings/Doge/doges.dds
building,BTG,doges,doge,.nif,,,Art/BTG/Buildings/Doge/doges.nif
building,BTG,doges shadow,doge,.dds,,,Art/BTG/Buildings/Doge/doges_shadow.dds
building,BTG,broadcast tower map,empire state building,.dds,,,Art/BTG/Buildings/Empire State Building/broadcast_tower-map.dds
building,BTG,empire,empire state building,.nif,,,Art/BTG/Buildings/Empire State Building/empire.nif
building,BTG,empiremain,empire state building,.dds,,,Art/BTG/Buildings/Empire State Building/empiremain.dds
building,BTG,television,empire state building,.dds,,,Art/BTG/Buildings/Empire State Building/television.dds
building,BTG,galata tower,galata tower,.nif,,,Art/BTG/Buildings/Galata Tower/Galata_Tower.nif
building,BTG,galata tower btn,galata tower,.dds,,,Art/BTG/Buildings/Galata Tower/Galata_Tower_Btn.dds
building,BTG,galata 256,galata tower,.dds,,,Art/BTG/Buildings/Galata Tower/galata_256.dds
building,BTG,galata shadow,galata tower,.dds,,,Art/BTG/Buildings/Galata Tower/galata_shadow.dds
building,BTG,imam reza,imamrezashrine,.dds,,,Art/BTG/Buildings/ImamRezaShrine/Imam Reza.dds
building,BTG,imambase,imamrezashrine,.dds,,,Art/BTG/Buildings/ImamRezaShrine/imambase.dds
building,BTG,imamcopule,imamrezashrine,.dds,,,Art/BTG/Buildings/ImamRezaShrine/imamcopule.dds
building,BTG,imamreza,imamrezashrine,.nif,,,Art/BTG/Buildings/ImamRezaShrine/imamreza.nif
building,BTG,minaret1,imamrezashrine,.dds,,,Art/BTG/Buildings/ImamRezaShrine/minaret1.dds
building,BTG,largeshipyard,largeshipyard,.nif,,,Art/BTG/Buildings/LargeShipyard/LargeShipyard.nif
building,BTG,drydock map,largeshipyard,.dds,,,Art/BTG/Buildings/LargeShipyard/drydock-map.dds
building,BTG,ground,largeshipyard,.dds,,,Art/BTG/Buildings/LargeShipyard/ground.dds
building,BTG,stocznia,largeshipyard,.dds,,,Art/BTG/Buildings/LargeShipyard/stocznia.dds
building,BTG,2birla,laxminarayan temple,.nif,,,Art/BTG/Buildings/Laxminarayan temple/2birla.nif
building,BTG,laxminarayan,laxminarayan temple,.dds,,,Art/BTG/Buildings/Laxminarayan temple/Laxminarayan.dds
building,BTG,birla,laxminarayan temple,.nif,,,Art/BTG/Buildings/Laxminarayan temple/birla.nif
building,BTG,birlabase,laxminarayan temple,.dds,,,Art/BTG/Buildings/Laxminarayan temple/birlabase.dds
building,BTG,birlavrch,laxminarayan temple,.dds,,,Art/BTG/Buildings/Laxminarayan temple/birlavrch.dds
building,BTG,asiapalace,matsumoto castle,.dds,medieval,,Art/BTG/Buildings/Matsumoto Castle/asiapalace.dds
building,BTG,asiapalace,matsumoto castle,.nif,medieval,,Art/BTG/Buildings/Matsumoto Castle/asiapalace.nif
building,BTG,asiapalace2,matsumoto castle,.dds,medieval,,Art/BTG/Buildings/Matsumoto Castle/asiapalace2.dds
building,BTG,button museum,museum,.dds,,,Art/BTG/Buildings/Museum/Button_museum.dds
building,BTG,forbiddenpalace shadowmap,museum,.dds,,,Art/BTG/Buildings/Museum/Forbiddenpalace-shadowmap.dds
building,BTG,museum,museum,.nif,,,Art/BTG/Buildings/Museum/Museum.nif
building,BTG,tokyocitycenterbase,museum,.dds,,,Art/BTG/Buildings/Museum/Tokyocitycenterbase.dds
building,BTG,philo,philosopherstone,.nif,,,Art/BTG/Buildings/PhilosopherStone/PHILO.nif
building,BTG,philo 256,philosopherstone,.dds,,,Art/BTG/Buildings/PhilosopherStone/PHILO_256.dds
building,BTG,philo button,philosopherstone,.dds,,,Art/BTG/Buildings/PhilosopherStone/PHILO_BUTTON.dds
building,BTG,philo gloss,philosopherstone,.dds,,,Art/BTG/Buildings/PhilosopherStone/PHILO_GLOSS.dds
building,BTG,philo glow,philosopherstone,.dds,,,Art/BTG/Buildings/PhilosopherStone/PHILO_GLOW.dds
building,BTG,fx stone glow,philosopherstone,.dds,,,Art/BTG/Buildings/PhilosopherStone/fx_stone_glow.dds
building,BTG,schoen05,schonbrunn,.dds,,,Art/BTG/Buildings/Schonbrunn/Schoen05.dds
building,BTG,schonbrunn,schonbrunn,.nif,,,Art/BTG/Buildings/Schonbrunn/Schonbrunn.nif
building,BTG,factory,tankfactory,.dds,modern,,Art/BTG/Buildings/TankFactory/Factory.dds
building,BTG,tankfactory,tankfactory,.nif,modern,,Art/BTG/Buildings/TankFactory/TankFactory.nif
building,BTG,asenshrine,temple at uppsala,.nif,,,Art/BTG/Buildings/Temple at Uppsala/asenshrine.nif
building,BTG,asenshrine diffuse,temple at uppsala,.dds,,,Art/BTG/Buildings/Temple at Uppsala/asenshrine_diffuse.dds
building,BTG,asenshrine shadow,temple at uppsala,.dds,,,Art/BTG/Buildings/Temple at Uppsala/asenshrine_shadow.dds
building,BTG,sumerian ziggurat shadow,tomb of cyrus,.dds,ancient,middle_eastern,Art/BTG/Buildings/Tomb of Cyrus/Sumerian_Ziggurat_SHADOW.dds
building,BTG,cyrustomb,tomb of cyrus,.dds,,,Art/BTG/Buildings/Tomb of Cyrus/cyrustomb.dds
building,BTG,cyrustomb,tomb of cyrus,.nif,,,Art/BTG/Buildings/Tomb of Cyrus/cyrustomb.nif
building,BTG,belem tower,torre de belem,.dds,,,Art/BTG/Buildings/Torre de Belem/belem_tower.dds
building,BTG,navalacademy,torre de belem,.nif,,,Art/BTG/Buildings/Torre de Belem/navalacademy.nif
building,BTG,torre01,torre de belem,.dds,,,Art/BTG/Buildings/Torre de Belem/torre01.dds
building,BTG,torre03,torre de belem,.dds,,,Art/BTG/Buildings/Torre de Belem/torre03.dds
building,BTG,arsenal,venetian,.dds,,,Art/BTG/Buildings/Venetian/arsenal.dds
building,BTG,arsenal large,venetian,.nif,,,Art/BTG/Buildings/Venetian/arsenal_large.nif
building,BTG,post01 tall,walls of babylon,.nif,ancient,middle_eastern,Art/BTG/Buildings/Walls of Babylon/post01_tall.nif
building,BTG,tall wall,walls of babylon,.dds,ancient,middle_eastern,Art/BTG/Buildings/Walls of Babylon/tall_wall.dds
building,BTG,tall wall civilopedia,walls of babylon,.nif,ancient,middle_eastern,Art/BTG/Buildings/Walls of Babylon/tall_wall_civilopedia.nif
building,BTG,tall wall shadow,walls of babylon,.dds,ancient,middle_eastern,Art/BTG/Buildings/Walls of Babylon/tall_wall_shadow.dds
building,BTG,wall01 tall,walls of babylon,.nif,ancient,middle_eastern,Art/BTG/Buildings/Walls of Babylon/wall01_tall.nif
building,BTG,wall02 tall,walls of babylon,.nif,ancient,middle_eastern,Art/BTG/Buildings/Walls of Babylon/wall02_tall.nif
building,BTG,wall04 tall,walls of babylon,.nif,ancient,middle_eastern,Art/BTG/Buildings/Walls of Babylon/wall04_tall.nif
building,BTG,kerk,westerkerk,.dds,,,Art/BTG/Buildings/Westerkerk/kerk.dds
building,BTG,kerk03,westerkerk,.nif,,,Art/BTG/Buildings/Westerkerk/kerk03.nif
building,BTG,militaryacademy,bluepalace,.dds,,,Art/BTG/Buildings/bluepalace/MilitaryAcademy.dds
building,BTG,militaryacademyshadow,bluepalace,.dds,,,Art/BTG/Buildings/bluepalace/MilitaryAcademyShadow.dds
building,BTG,military academy,bluepalace,.nif,,,Art/BTG/Buildings/bluepalace/Military_Academy.nif
building,BTG,winery,burgundian_winery,.nif,,,Art/BTG/Buildings/burgundian_winery/winery.nif
building,BTG,winery diff,burgundian_winery,.dds,,,Art/BTG/Buildings/burgundian_winery/winery_diff.dds
building,BTG,castle2,hungarian_vegvar,.dds,medieval,,Art/BTG/Buildings/hungarian_vegvar/castle2.dds
building,BTG,castle2,hungarian_vegvar,.nif,medieval,,Art/BTG/Buildings/hungarian_vegvar/castle2.nif
building,BTG,castle shadow,hungarian_vegvar,.dds,medieval,,Art/BTG/Buildings/hungarian_vegvar/castle_shadow.dds
building,BTG,asentemple,pagan_shrine,.nif,,,Art/BTG/Buildings/pagan_shrine/asentemple.nif
building,BTG,asentemple diffuse,pagan_shrine,.dds,,,Art/BTG/Buildings/pagan_shrine/asentemple_diffuse.dds
building,BTG,asentemple shadow,pagan_shrine,.dds,,,Art/BTG/Buildings/pagan_shrine/asentemple_shadow.dds
building,BTG,sphinx,sphinx,.dds,,,Art/BTG/Buildings/sphinx/sphinx.dds
building,BTG,sphinx shadow,sphinx,.dds,,,Art/BTG/Buildings/sphinx/sphinx_shadow.dds
building,BTG,warehouse upgrade,warehouse,.nif,,,Art/BTG/Buildings/warehouse/warehouse_upgrade.nif
building,BTG,warehouse upgrade diff,warehouse,.dds,,,Art/BTG/Buildings/warehouse/warehouse_upgrade_diff.dds
building,BTG,asencathedral,buildings,.nif,,,Art/BTG/ChooseReligions/Asen_Files/Buildings/AsenCathedral.nif
building,BTG,asencathedral button,buildings,.dds,,,Art/BTG/ChooseReligions/Asen_Files/Buildings/AsenCathedral_Button.dds
building,BTG,asencathedral diffuse,buildings,.dds,,,Art/BTG/ChooseReligions/Asen_Files/Buildings/AsenCathedral_Diffuse.dds
building,BTG,asencathedral shadows,buildings,.dds,,,Art/BTG/ChooseReligions/Asen_Files/Buildings/AsenCathedral_Shadows.dds
building,BTG,asenmonastery,buildings,.nif,,,Art/BTG/ChooseReligions/Asen_Files/Buildings/AsenMonastery.nif
building,BTG,asenmonastery button,buildings,.dds,,,Art/BTG/ChooseReligions/Asen_Files/Buildings/AsenMonastery_Button.dds
building,BTG,asenmonastery diffuse,buildings,.dds,,,Art/BTG/ChooseReligions/Asen_Files/Buildings/AsenMonastery_Diffuse.dds
building,BTG,asenmonastery shadow,buildings,.dds,,,Art/BTG/ChooseReligions/Asen_Files/Buildings/AsenMonastery_Shadow.dds
building,BTG,asenshrine,buildings,.nif,,,Art/BTG/ChooseReligions/Asen_Files/Buildings/AsenShrine.nif
building,BTG,asenshrine button,buildings,.dds,,,Art/BTG/ChooseReligions/Asen_Files/Buildings/AsenShrine_Button.dds
building,BTG,asenshrine diffuse,buildings,.dds,,,Art/BTG/ChooseReligions/Asen_Files/Buildings/AsenShrine_Diffuse.dds
building,BTG,asenshrine shadow,buildings,.dds,,,Art/BTG/ChooseReligions/Asen_Files/Buildings/AsenShrine_Shadow.dds
building,BTG,asentemple,buildings,.nif,,,Art/BTG/ChooseReligions/Asen_Files/Buildings/AsenTemple.nif
building,BTG,asentemple button,buildings,.dds,,,Art/BTG/ChooseReligions/Asen_Files/Buildings/AsenTemple_Button.dds
building,BTG,asentemple diffuse,buildings,.dds,,,Art/BTG/ChooseReligions/Asen_Files/Buildings/AsenTemple_Diffuse.dds
building,BTG,asentemple shadow,buildings,.dds,,,Art/BTG/ChooseReligions/Asen_Files/Buildings/AsenTemple_Shadow.dds
