index,bonus_type,title,year,era,art_type,qid,sitelinks,item_url,image_url,button_path
1,BONUS_ART_001,Lion man of the Hohlenstein Stadel,-38000,ANTIQUITY,SCULPTURE,Q702658,35,http://www.wikidata.org/entity/Q702658,http://commons.wikimedia.org/wiki/Special:FilePath/Loewenmensch2.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_001.tga
2,BONUS_ART_002,Venus of Dolní Věstonice,-29000,ANTIQUITY,SCULPTURE,Q552113,37,http://www.wikidata.org/entity/Q552113,http://commons.wikimedia.org/wiki/Special:FilePath/Vestonicka%20venuse%20edit.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_002.tga
3,BONUS_ART_003,The Great Sphinx,-2559,ANTIQUITY,SCULPTURE,Q130958,82,http://www.wikidata.org/entity/Q130958,http://commons.wikimedia.org/wiki/Special:FilePath/Great%20Sphinx%20of%20Giza%20May%202015.JPG,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_003.tga
4,BONUS_ART_004,Phaistos disc,-1699,ANTIQUITY,SCULPTURE,Q465338,42,http://www.wikidata.org/entity/Q465338,http://commons.wikimedia.org/wiki/Special:FilePath/PhaistosDiskLarge.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_004.tga
5,BONUS_ART_005,Mask of Agamemnon,-1600,ANTIQUITY,SCULPTURE,Q1126741,37,http://www.wikidata.org/entity/Q1126741,http://commons.wikimedia.org/wiki/Special:FilePath/Athens%20%E2%80%94%20Mask%20of%20Agamemnon.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_005.tga
6,BONUS_ART_006,Trundholm Sun Chariot,-1399,ANTIQUITY,SCULPTURE,Q1137682,36,http://www.wikidata.org/entity/Q1137682,http://commons.wikimedia.org/wiki/Special:FilePath/Solvognen%20DO-6865%202000.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_006.tga
7,BONUS_ART_007,Nefertiti Bust,-1349,ANTIQUITY,SCULPTURE,Q582172,41,http://www.wikidata.org/entity/Q582172,http://commons.wikimedia.org/wiki/Special:FilePath/Nofretete%20Neues%20Museum.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_007.tga
8,BONUS_ART_008,Mesha Stele,-839,ANTIQUITY,SCULPTURE,Q724954,36,http://www.wikidata.org/entity/Q724954,http://commons.wikimedia.org/wiki/Special:FilePath/F4171%20Louvre%20stele%20de%20Mesha%20AO5066%20rwk.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_008.tga
9,BONUS_ART_009,Behistun Inscription,-600,ANTIQUITY,SCULPTURE,Q180012,70,http://www.wikidata.org/entity/Q180012,http://commons.wikimedia.org/wiki/Special:FilePath/%DA%A9%D8%AA%DB%8C%D8%A8%D9%87%20%D8%AF%D8%A7%D8%B1%DB%8C%D9%88%D8%B4%20%28%20%D8%A8%DB%8C%D8%B3%D8%AA%D9%88%D9%86%28.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_009.tga
10,BONUS_ART_010,Capitoline Wolf,-500,ANTIQUITY,SCULPTURE,Q408623,42,http://www.wikidata.org/entity/Q408623,http://commons.wikimedia.org/wiki/Special:FilePath/Lupa%20Capitolina%2C%20Rome.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_010.tga
